Data Set 1:X,Data Set 1:Y
0,1
68,1
102,1
118,1
135,1
288,1
304,1
372,1
406,1
508,0
627,0
746,0
763,1
779,1
847,1
916,1
933,1
984,1
1018,1
1083,0
1224,0
1390,1
1413,1
1534,1
1552,1
1569,1
1639,1
1667,0
1673,0
1794,0
1829,0
1939,1
2056,1
2091,1
2143,1
2161,1
2189,0
2408,0
2434,1
2442,1
2460,1
2496,1
2513,1
2532,1
2549,1
2566,1
2602,1
2621,1
2655,1
2663,0
2835,0
2870,0
2888,1
2906,1
2942,1
2960,1
2978,1
2996,1
3014,1
3087,1
3098,0
3308,1
3324,1
3378,1
3415,1
3452,1
3505,0
3685,0
3711,1
3817,1
3862,1
3885,1
3915,0
3955,0
4002,0
4129,1
4146,1
4196,1
4246,1
4296,1
4346,0
4474,0
4501,0
4579,0
4588,1
4604,1
4656,1
4683,1
4762,1
4816,1
4833,0
4843,0
5025,0
5073,0
5099,1
5162,1
5246,1
5285,1
5323,1
5361,0
5377,0
5430,0
5449,0
5484,0
5633,1
5642,1
5713,1
5749,1
5784,1
5854,1
5872,1
5890,0
6049,0
6102,0
6121,0
6138,0
6149,1
6251,1
6397,0
6661,1
6709,1
6760,1
6785,1
6811,1
6837,1
6890,1
6928,0
7137,0
7213,1
7221,1
7335,1
7364,1
7421,1
7451,1
7478,1
7507,1
7514,0
7620,0
7730,0
7759,0
7815,0
7856,1
7901,1
7930,1
8073,1
8131,1
8175,0
8305,0
8389,0
8472,0
8539,1
8549,1
8574,1
8599,1
8623,1
8671,1
8740,1
8763,1
8807,1
8850,1
8892,1
8912,0
9010,0
9085,0
9316,1
9334,1
9369,1
9439,1
9457,1
9493,1
9510,1
9528,1
9546,1
9706,0
9724,0
9759,0
9884,0
9973,0
9990,0
10080,0
10104,1
10151,1
10187,1
10293,1
10311,1
10329,1
10383,1
10401,1
10473,1
10500,0
10889,1
10899,1
10933,1
11004,1
11075,1
11127,1
11144,1
11163,1
11215,1
11248,0
11374,0
11606,1
11640,1
11657,1
11692,1
11711,1
11781,1
11835,1
11853,1
11937,0
11977,0
12013,0
12103,0
12260,1
12281,1
12333,1
12352,1
12369,1
12405,1
12441,1
12529,1
12550,0
12582,0
12671,0
12724,0
12743,0
12831,0
12832,1
12867,1
12884,1
12937,1
13028,1
13087,0
13276,0
13294,0
13334,1
13420,1
13456,1
13491,1
13527,1
13545,1
13566,0
13671,0
13689,0
13801,1
13815,1
13905,1
13924,1
13942,1
13996,1
14020,0
14086,0
14160,0
14233,0
14236,1
14288,1
14325,1
14361,1
14433,1
14438,0
14452,0
14470,0
14506,0
14641,1
14652,1
14759,1
14832,0
14900,0
14935,0
14953,0
14970,0
15024,1
15040,1
15091,1
15160,1
15205,0
15387,1
15392,1
15425,1
15441,1
15473,1
15506,1
15537,1
15554,1
